Part_ID,Defective,Defect_Type,Downtime_Minutes,Machine_Age_Yrs,Vibration_Level,Temperature_C,Plant
1,0,Dimensional,157.11924772927512,10.29587938883826,3.865933318982737,70.1091846857164,Plant4
2,0,Dimensional,24.47622798372558,7.97080189594451,4.4371738441511,81.42520838124413,Plant3
3,0,Dimensional,51.07518385801497,14.53848082323123,4.659832791330975,86.15775504711473,Plant1
4,0,Surface,130.62065350546504,4.846719862795096,4.601976674510835,69.56012675380859,Plant3
5,0,Surface,78.95430376511875,9.642133407986229,3.7101707660474457,64.11426008190722,Plant4
6,0,Leak,160.99112287710966,11.102730194872894,3.516957880593264,78.1624730679068,Plant1
7,0,Dimensional,389.9446431425672,12.732338361489962,4.404042666415939,76.6716454701156,Plant4
8,0,Surface,14.870019919837398,7.290623395564092,1.7090478259281703,73.81810932508877,Plant4
9,0,Weld,148.36617993386332,10.92998479954726,1.0848074123789155,49.20659568785878,Plant3
10,0,Weld,31.417418329813486,5.941619127995676,5.196110979839277,77.08175403170009,Plant3
11,0,Leak,64.22992181974482,7.661189200703664,5.229469748529981,68.58201358611043,Plant3
12,1,Weld,4.00978017086899,13.643152705644189,6.7588011601079945,56.06297689794585,Plant4
13,0,Crack,17.529038340326377,14.348798921302405,4.488869379258456,58.28123942525017,Plant4
14,0,Dimensional,46.24020219949405,11.344625510054442,2.612745573784942,70.82032288872797,Plant3
15,0,Surface,50.22345304546103,6.866574580090405,1.120706369604067,39.883613562126925,Plant4
16,0,Dimensional,275.8135003404871,12.660751269670632,3.2196078480862678,63.7452683563034,Plant3
17,0,Dimensional,162.48849587744783,2.3362720624304623,5.845039488115038,58.44937440817908,Plant2
18,0,Dimensional,429.85281488876194,3.335696837012474,7.882897806817844,57.430590884404765,Plant1
19,0,Dimensional,109.67666371095888,10.597858572879694,5.108170825543028,60.42806874471792,Plant2
20,0,Dimensional,33.2033162985009,5.7862314785107465,2.5728202193277765,50.20599628583231,Plant4
21,0,Dimensional,47.638046621553244,14.368020839206212,3.2401587949898603,75.52480043815874,Plant1
22,0,Dimensional,46.25054647692496,7.668787957199962,3.3025881518713645,43.72105155374743,Plant4
23,0,Crack,47.431063318726146,7.581742665059301,4.188022796870379,66.69287541800875,Plant4
24,0,Dimensional,134.12226620846545,10.815033632482107,7.24179084998974,56.5244212128339,Plant1
25,0,Weld,90.8091671260765,11.978391309980465,7.397818900313563,84.83578680000457,Plant4
26,0,Dimensional,58.418756352995366,8.182263595626775,4.655488210450227,65.22686438484169,Plant4
27,0,Crack,19.373837056862946,4.782011722252414,5.366140220227195,43.76667189642946,Plant4
28,0,Leak,2.6865494962635337,12.053012355433081,3.4048842142530686,70.46821076518621,Plant3
